Country,Value
ISL,65.14978753
NOR,68.13033078
SWE,33.84306673
BRA,40.29904649
NZL,39.45048396
DNK,8.218945804
AUT,29.75379296
CHE,30.77816884
FIN,18.23353008
COL,27.27657573
PRT,18.97240924
ECU,16.46359074
CAN,28.67743373
VEN,17.82018727
HRV,19.7434374
PER,26.13673657
CHL,22.25708382
LVA,18.71759221
VNM,14.45849451
ESP,11.40249282
IRL,4.50122548
ROU,8.894131533
TUR,11.47999664
CHN,5.949606082
FRA,8.272013786
AUS,5.1692685
NLD,1.676715649
BGR,4.312993204
GBR,3.000085335
JPN,6.045869163
ARG,9.874574025
USA,5.286417433
PAK,13.8663695
IND,8.909122737
IRN,2.490297904
SGP,0.162718647
SAU,0.001500512
ZAF,0.684099897
ISR,0.335340848
EGY,8.552335267
HUN,1.217937141
LUX,5.890884988
THA,4.66702169
POL,1.775725938
MAR,4.984105167
